trade_date,open,high,low,close,vol
20251120,1472.0,1479.9,1465.03,1467.11,24002.32
20251121,1470.5,1480.0,1456.0,1466.6,42607.2
20251124,1467.0,1471.0,1451.13,1452.0,33607.44
20251125,1458.0,1458.0,1444.5,1444.65,28440.69
20251126,1448.88,1453.49,1443.58,1449.15,20306.16
20251127,1449.5,1450.0,1439.04,1447.3,22286.89
20251128,1446.5,1455.5,1443.0,1450.5,23211.21
20251201,1451.0,1462.27,1442.0,1448.0,27333.42
20251202,1448.0,1451.92,1435.02,1436.03,25047.26
20251203,1435.81,1435.97,1428.0,1429.1,23572.79
20251204,1429.1,1432.5,1418.38,1423.98,29075.39
20251205,1423.98,1433.09,1419.5,1430.01,25401.66
20251208,1429.2,1436.67,1418.0,1418.22,33602.8
20251209,1418.23,1421.0,1400.05,1401.01,42634.43
20251210,1400.0,1402.8,1383.18,1402.8,33133.47
20251211,1406.66,1411.99,1401.55,1411.99,22385.01
20251212,1418.0,1425.0,1413.57,1420.65,37159.19
20251215,1439.59,1439.99,1425.57,1426.0,33358.79
20251216,1426.2,1428.78,1415.0,1422.0,23963.67
20251217,1425.0,1439.94,1417.68,1433.1,31382.49
